x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
-0.5,33.97542269,1.891178555,30.15886985,37.79197553,1,density,rf,PC1,..
0,33.61818379,1.785581567,30.0147343,37.22163328,1,density,rf,PC1,..
0.5,33.26094489,1.82417455,29.57961161,36.94227817,1,density,rf,PC1,..
1,32.90370599,1.998622047,28.87032341,36.93708857,1,density,rf,PC1,..
1.5,32.54646709,2.277923052,27.94943226,37.14350192,1,density,rf,PC1,..
2,32.18922819,2.628867212,26.88395937,37.49449701,1,density,rf,PC1,..
2.5,31.83198929,3.026634806,25.72399297,37.93998561,1,density,rf,PC1,..
3,31.47475039,3.455091855,24.50209273,38.44740804,1,density,rf,PC1,..
3.5,31.11751149,3.904147442,23.23862297,38.99640001,1,density,rf,PC1,..
4,30.76027259,4.36745244,21.94639673,39.57414844,1,density,rf,PC1,..
4.5,30.40303369,4.840917313,20.63366703,40.17240034,1,density,rf,PC1,..
-3,6.67382966,1.589547966,3.465991995,9.881667326,1,density,oc,PC1,186.5267944
-2.5,7.503728362,1.391960996,4.694637345,10.31281938,1,density,oc,PC1,..
-2,8.333627064,1.204508106,5.902831294,10.76442283,1,density,oc,PC1,..
-1.5,9.163525766,1.032722532,7.079407321,11.24764421,1,density,oc,PC1,..
-1,9.993424468,0.885767216,8.205873856,11.78097508,1,density,oc,PC1,..
-0.5,10.82332317,0.777845088,9.253568231,12.39307811,1,density,oc,PC1,..
0,11.65322187,0.726563201,10.18695797,13.11948577,1,density,oc,PC1,..
0.5,12.48312057,0.743731722,10.98220919,13.98403195,1,density,oc,PC1,..
1,13.31301928,0.825088692,11.64792288,14.97811567,1,density,oc,PC1,..
1.5,14.14291798,0.954357118,12.21694734,16.06888862,1,density,oc,PC1,..
2,14.97281668,1.114995674,12.72266431,17.22296905,1,density,oc,PC1,..
2.5,15.80271538,1.295385998,13.1885206,18.41691016,1,density,oc,PC1,..
3,16.63261408,1.488363564,13.62897481,19.63625336,1,density,oc,PC1,..
3.5,17.46251279,1.689620963,14.05271964,20.87230594,1,density,oc,PC1,..
4,18.29241149,1.89652408,14.46507094,22.11975203,1,density,oc,PC1,..
4.5,19.12231019,2.107410699,14.86938322,23.37523716,1,density,oc,PC1,..
-3,12.83760141,1.594144492,9.620487578,16.05471524,1,density,rr,PC1,-26.49645284
-2.5,12.61083414,1.400421894,9.784668341,15.43699994,1,density,rr,PC1,..
-2,12.38406688,1.217518984,9.92701409,14.84111966,1,density,rr,PC1,..
-1.5,12.15729961,1.051099256,10.03609543,14.27850379,1,density,rr,PC1,..
-1,11.93053234,0.910248862,10.09357577,13.76748891,1,density,rr,PC1,..
-0.5,11.70376507,0.8084445,10.07225802,13.33527213,1,density,rr,PC1,..
