Season,Fragment,Area_m2,Perimeter_m,Shape_fractalD,PC1,PC2,PC3,PC4
2019,Andiparai,3270000,16621.0744,1.110928721246818,-1.6618443465299673,1.0031215517897287,-0.1902267272310578,1.079221637971788
2019,Selaliparai2,6700,359.7341,1.0213713620068112,0.5829959822581291,-0.6136712269425314,-0.10324720575541152,1.9633718914332177
2019,Korangamudi,733200,4665.1673,1.0457599023225304,1.346653690112047,2.2440512347045942,0.15045558349858024,-0.8149644028693117
2019,Pannimade,921300,7447.913,1.0964972223068552,-1.3570884425929861,0.6986958943232549,-0.7523343139687261,0.011542409739469933
2019,Iyerpadi-Top,1039100,9248.8825,1.1182386092397347,-0.522233885364177,0.7092158050804027,-0.8387137513702301,0.930961330961451
2019,OldValparai,413100,4504.4459,1.086734826486796,-0.2755280580034075,0.8504209212168061,-0.963514791549974,0.08679655155613965
2019,Murugaali-BlackBridge,157900,2582.9107,1.0811245998432943,1.02145950832878,2.773103581553136,-0.02757009766173546,0.5979805092746613
2019,Candura,1033000,10502.9635,1.137078426397457,2.0992611286312917,-0.6896932715992414,-0.6584785070955732,0.5357942475014789
2019,Murugaali-Sholayar,1024300,13196.0889,1.1707604601884292,1.6081612456399206,0.49273397663869983,-1.3990182443236547,-0.09634112508208383
2019,Manamboly,1749500,11653.4501,1.1098645789595953,-1.7001004610675103,0.37629331814286804,-0.9684295341391183,-0.198960495466496
2019,Varatuparai123,125200,2744.1716,1.1128173514855875,-0.39084974893492436,0.9155695070092302,0.49398514246937025,1.0428780950377692
2019,Puduthottam,1130800,6052.1937,1.0506030618115982,0.7054910571106876,3.8392683683369704,-0.9622755901146319,-0.899521816191591
2019,Varatuparai4,38500,1676.2152,1.1437323042972332,-2.087184228879075,1.136818889226751,2.2879566834407536,1.153887036918399
2019,Injiparai,189800,2290.384,1.0449767126010812,0.5230683540627541,0.9648521629842852,-1.0792565146943809,-1.3507859473224928
2019,Karian-Shola,8542700,22397.7708,1.081466739148521,1.0186080833504751,0.4150366629925658,-0.5583625643603933,-0.3089300845870892
2019,Varagaliar,14110900,43267.566,1.1284905521481532,-0.7451342585528901,1.0357439089205913,-1.1817014849353027,0.9193983358103313
