"","Var1","Var2","bcdist","Fragment","timediff","dat_subset","resp","dPC1","dPC2","dPC3","dPC4","Area_m2","Perimeter_m","Shape_fractalD"
"60",2000,2019,0.558452641218395,"Varatuparai4",19,"rf","composition",-3.89193846895657,1.94449244572529,2.36896990502968,0.153588887217411,38500,1676.2152,1.14373230429723
"61",2000,2005,0.327706143338198,"Akkamalai_Iyerpadi",5,"oc","composition",-0.130795200890587,-0.170329324258964,0.65599109343934,-0.688653756556229,43099800,136575.6259,1.18758999323785
"62",2000,2019,0.396148410377961,"Akkamalai_Iyerpadi",19,"oc","composition",0.803038974611878,1.05841207431343,-0.445577925581585,-0.825332999309113,43099800,136575.6259,1.18758999323785
"63",2005,2019,0.15018031674441,"Akkamalai_Iyerpadi",14,"oc","composition",0.933834175502465,1.2287413985724,-1.10156901902092,-0.136679242752884,43099800,136575.6259,1.18758999323785
"64",2000,2005,0.217977440979847,"Andiparai",5,"oc","composition",-0.0105008665693564,-0.0179251196346839,-0.0143100155828229,0.0753203782196076,3270000,16621.0744,1.11092872124682
"65",2000,2019,0.397596343807568,"Andiparai",19,"oc","composition",-0.638735622238606,1.60430559282083,-0.320649242206742,1.55035436196011,3270000,16621.0744,1.11092872124682
"66",2005,2019,0.241413477380274,"Andiparai",14,"oc","composition",-0.62823475566925,1.62223071245551,-0.306339226623919,1.4750339837405,3270000,16621.0744,1.11092872124682
"67",2005,2019,0.48626319051814,"Injiparai",14,"oc","composition",-1.07845739405442,0.843005157278146,-2.22223409489144,-0.444128596218134,189800,2290.384,1.04497671260108
"68",2000,2019,0.615086571328444,"Karian-Shola",19,"oc","composition",3.25458908188786,0.494183769911858,-0.04785166771545,0.0863972489878338,8542700,22397.7708,1.08146673914852
"69",2000,2005,0.2235235142338,"Korangamudi",5,"oc","composition",-2.51832317435146,0.724913983167402,0.697914250230504,-2.5047239855752,733200,4665.1673,1.04575990232253
"70",2000,2019,0.422794216216773,"Korangamudi",19,"oc","composition",-2.92621021300697,3.0326661701744,-0.340412167317019,-2.44171395855353,733200,4665.1673,1.04575990232253
"71",2005,2019,0.385634101009583,"Korangamudi",14,"oc","composition",-0.407887038655508,2.307752187007,-1.03832641754752,0.0630100270216734,733200,4665.1673,1.04575990232253
"72",2000,2005,0.462341494343899,"Manamboly",5,"oc","composition",1.10102371804471,-0.125726425271847,-0.398725402563555,-0.113205439559048,1749500,11653.4501,1.1098645789596
"73",2000,2019,0.871569838162385,"Manamboly",19,"oc","composition",0.859005496429406,1.21681083680209,-2.00872440323342,-0.419831851273453,1749500,11653.4501,1.1098645789596
"74",2005,2019,0.464962698580493,"Manamboly",14,"oc","composition",-0.242018221615299,1.34253726207393,-1.60999900066986,-0.306626411714405,1749500,11653.4501,1.1098645789596
"75",2000,2005,0.380037798537222,"OldValparai",5,"oc","composition",-0.946452999001499,0.13877536658317,0.49453219949488,-0.15013009992545,413100,4504.4459,1.0867348264868
"76",2000,2019,0.420586895466391,"OldValparai",19,"oc","composition",-0.673366715621148,1.50826413792788,-1.27679471969547,0.564630526906708,413100,4504.4459,1.0867348264868
"77",2005,2019,0.607119973576751,"OldValparai",14,"oc","composition",0.273086283380351,1.36948877134471,-1.77132691919035,0.714760626832158,413100,4504.4459,1.0867348264868
